Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Temp Comp Media;
82598;11/05/1961;1200;0;;21.8;;;
82598;12/05/1961;0000;;;;8.7;;
82598;12/05/1961;1200;1.2;;22.3;;;
82598;13/05/1961;0000;;;;0;;
82598;13/05/1961;1200;29;;20.6;;;
82598;14/05/1961;0000;;;;1.2;;
82598;14/05/1961;1200;67;;22.3;;;
82598;15/05/1961;0000;;;;8.8;;
82598;15/05/1961;1200;12;;20.6;;;
82598;16/05/1961;0000;;;;10.7;;
82598;16/05/1961;1200;0;;21.7;;;
82598;17/05/1961;0000;;;;10;;
82598;17/05/1961;1200;0;;20.8;;;
82598;18/05/1961;0000;;;;10.8;;
82598;18/05/1961;1200;0;;21.5;;;
82598;19/05/1961;0000;;;;4.2;;
82598;19/05/1961;1200;0;;21.5;;;
82598;20/05/1961;0000;;;;0.3;;
82598;20/05/1961;1200;0;;22.6;;;
82598;21/05/1961;0000;;;;1.6;;
82598;21/05/1961;1200;5.8;;20.6;;;
82598;22/05/1961;0000;;;;0;;
82598;22/05/1961;1200;5.8;;22.3;;;
82598;23/05/1961;0000;;;;5.8;;
82598;23/05/1961;1200;11;;21.9;;;
82598;24/05/1961;0000;;;;10.9;;
82598;24/05/1961;1200;0;;21.1;;;
82598;25/05/1961;0000;;;;1.5;;
82598;25/05/1961;1200;0;;21.5;;;
82598;26/05/1961;0000;;;;6.9;;
82598;26/05/1961;1200;0;;22.6;;;
82598;27/05/1961;0000;;;;10.5;;
82598;27/05/1961;1200;0;;21.8;;;
82598;28/05/1961;0000;;;;7.5;;
82598;28/05/1961;1200;5.8;;23.1;;;
82598;29/05/1961;0000;;;;9.5;;
82598;29/05/1961;1200;0;;22.2;;;
82598;30/05/1961;0000;;;;6.1;;
82598;30/05/1961;1200;0;;22.5;;;
82598;31/05/1961;0000;;;;4;;
82598;31/05/1961;1200;1;;21.7;;;
82598;01/06/1961;0000;;;;8.4;;
82598;01/06/1961;1200;30;;21.7;;;
82598;02/06/1961;0000;;;;7.1;;
82598;02/06/1961;1200;0;;21.6;;;
82598;03/06/1961;0000;;;;6.1;;
82598;03/06/1961;1200;29;;21.3;;;
82598;04/06/1961;0000;;;;7.3;;
82598;04/06/1961;1200;0;;22.5;;;
82598;05/06/1961;0000;;;;9.1;;
82598;05/06/1961;1200;2;;22.8;;;
82598;06/06/1961;0000;;;;6.4;;
82598;06/06/1961;1200;0;;21.7;;;
82598;07/06/1961;0000;;;;10.4;;
82598;07/06/1961;1200;0;;21.2;;;
82598;08/06/1961;0000;;;;9.9;;
82598;08/06/1961;1200;0;;21.3;;;
82598;09/06/1961;0000;;;;7.7;;
82598;09/06/1961;1200;0;;22.7;;;
82598;10/06/1961;0000;;;;8.9;;
82598;10/06/1961;1200;1;;21.6;;;
82598;11/06/1961;0000;;;;8.8;;
82598;11/06/1961;1200;0;;21.3;;;
82598;12/06/1961;0000;;;;9.7;;
82598;12/06/1961;1200;7.4;;21.9;;;
82598;13/06/1961;0000;;;;10.3;;
82598;13/06/1961;1200;0;;22.6;;;
82598;14/06/1961;0000;;;;10.5;;
82598;14/06/1961;1200;3.6;;22.5;;;
82598;15/06/1961;0000;;;;9.9;;
82598;15/06/1961;1200;2.4;;22.1;;;
82598;16/06/1961;0000;;;;9.7;;
82598;16/06/1961;1200;0;;21.7;;;
82598;17/06/1961;0000;;;;10.6;;
82598;17/06/1961;1200;0;;21.2;;;
82598;18/06/1961;0000;;;;2.3;;
82598;18/06/1961;1200;0;;21.6;;;
82598;19/06/1961;0000;;;;7.5;;
82598;19/06/1961;1200;7.4;;21.5;;;
82598;20/06/1961;0000;;;;8.6;;
82598;20/06/1961;1200;0;;20.1;;;
82598;21/06/1961;0000;;;;10.2;;
82598;21/06/1961;1200;0;;20.5;;;
82598;22/06/1961;0000;;;;10.7;;
82598;22/06/1961;1200;0;;20.4;;;
82598;23/06/1961;0000;;;;1.3;;
82598;23/06/1961;1200;0;;20.9;;;
82598;24/06/1961;0000;;;;0;;
82598;24/06/1961;1200;7.1;;21.5;;;
82598;25/06/1961;0000;;;;1.9;;
82598;25/06/1961;1200;4.5;;20.8;;;
82598;26/06/1961;0000;;;;8.2;;
82598;26/06/1961;1200;10.4;;21.5;;;
82598;27/06/1961;0000;;;;6.4;;
82598;27/06/1961;1200;1.4;;21.7;;;
82598;28/06/1961;0000;;;;5.1;;
82598;28/06/1961;1200;7.2;;21.6;;;
82598;29/06/1961;0000;;;;10.2;;
82598;29/06/1961;1200;0;;23.4;;;
82598;30/06/1961;0000;;;;1;;
82598;30/06/1961;1200;2.2;;21.6;;;
82598;01/07/1961;0000;;;;6.4;;
82598;01/07/1961;1200;14.5;;21.1;;;
82598;02/07/1961;0000;;;;2.6;;
82598;02/07/1961;1200;6.4;;20.7;;;
82598;03/07/1961;0000;;;;10.4;;
82598;03/07/1961;1200;0;;20.5;;;
82598;04/07/1961;0000;;;;3.5;;
82598;04/07/1961;1200;6;;21.3;;;
82598;05/07/1961;0000;;;;1.3;;
82598;05/07/1961;1200;6.8;;21.4;;;
82598;06/07/1961;0000;;;;1.1;;
82598;06/07/1961;1200;29.5;;19.9;;;
82598;07/07/1961;0000;;;;5.4;;
82598;07/07/1961;1200;3;;21.5;;;
82598;08/07/1961;0000;;;;8.6;;
82598;08/07/1961;1200;0;;20.7;;;
82598;09/07/1961;0000;;;;9.9;;
82598;09/07/1961;1200;0;;20.9;;;
82598;10/07/1961;0000;;;;10.6;;
82598;10/07/1961;1200;0;;20.6;;;
82598;11/07/1961;0000;;;;7.4;;
82598;11/07/1961;1200;0;;19.9;;;
82598;12/07/1961;0000;;;;4.6;;
82598;12/07/1961;1200;0;;21.6;;;
82598;13/07/1961;0000;;;;5.2;;
82598;13/07/1961;1200;2.6;;21.1;;;
82598;14/07/1961;0000;;;;3.9;;
82598;14/07/1961;1200;4.5;;20.1;;;
82598;15/07/1961;0000;;;;9.5;;
82598;15/07/1961;1200;11.4;;20.7;;;
82598;16/07/1961;0000;;;;8.5;;
82598;16/07/1961;1200;0.6;;19.9;;;
82598;17/07/1961;0000;;;;3.7;;
82598;17/07/1961;1200;16.6;;21.1;;;
82598;18/07/1961;0000;;;;10;;
82598;18/07/1961;1200;1.6;;22.6;;;
82598;19/07/1961;0000;;;;7.3;;
82598;19/07/1961;1200;12.4;;20.8;;;
82598;20/07/1961;0000;;;;8.6;;
82598;20/07/1961;1200;0;;21.6;;;
82598;21/07/1961;0000;;;;6.2;;
82598;21/07/1961;1200;11.5;;20.8;;;
82598;22/07/1961;0000;;;;3.4;;
82598;22/07/1961;1200;3.8;;20.5;;;
82598;23/07/1961;0000;;;;7;;
82598;23/07/1961;1200;2.4;;19.7;;;
82598;24/07/1961;0000;;;;5.7;;
82598;24/07/1961;1200;6.3;;20.5;;;
82598;25/07/1961;0000;;;;4.2;;
82598;25/07/1961;1200;22.8;;21.6;;;
82598;26/07/1961;0000;;;;0.2;;
82598;26/07/1961;1200;11;;19.8;;;
82598;27/07/1961;0000;;;;7.9;;
82598;27/07/1961;1200;0;;20.5;;;
82598;28/07/1961;0000;;;;10.3;;
82598;28/07/1961;1200;0;;20.9;;;
82598;29/07/1961;0000;;;;9.4;;
82598;29/07/1961;1200;1.4;;20.3;;;
82598;30/07/1961;0000;;;;0.5;;
82598;30/07/1961;1200;0.4;;21.5;;;
82598;31/07/1961;0000;;;;10;;
82598;31/07/1961;1200;0;;20.5;;;
82598;01/08/1961;0000;;;;6.7;;
82598;01/08/1961;1200;0;;20.7;;;
82598;02/08/1961;0000;;;;5.1;;
82598;02/08/1961;1200;0.6;;21.9;;;
82598;03/08/1961;0000;;;;9.8;;
82598;03/08/1961;1200;0;;;;;
82598;04/08/1961;0000;;;;10.3;;
82598;04/08/1961;1200;0;;19.1;;;
82598;05/08/1961;0000;;;;10.3;;
82598;05/08/1961;1200;0;;19.9;;;
82598;06/08/1961;0000;;;;9.9;;
82598;06/08/1961;1200;0;;20.4;;;
82598;07/08/1961;0000;;;;7.7;;
82598;07/08/1961;1200;0.2;;18.9;;;
82598;08/08/1961;0000;;;;9.3;;
82598;08/08/1961;1200;2;;20.4;;;
82598;09/08/1961;0000;;;;8.6;;
82598;09/08/1961;1200;0;;20.5;;;
82598;10/08/1961;0000;;;;10.1;;
82598;10/08/1961;1200;0;;20.7;;;
82598;11/08/1961;0000;;;;9.8;;
82598;11/08/1961;1200;0;;20.7;;;
82598;12/08/1961;0000;;;;10.2;;
82598;12/08/1961;1200;0;;17.7;;;
82598;13/08/1961;0000;;;;6;;
82598;13/08/1961;1200;2.2;;19.6;;;
82598;14/08/1961;0000;;;;10;;
82598;14/08/1961;1200;4.8;;20.4;;;
82598;15/08/1961;0000;;;;8.8;;
82598;15/08/1961;1200;0;;21.5;;;
82598;16/08/1961;0000;;;;9.4;;
82598;16/08/1961;1200;0;;21.5;;;
82598;17/08/1961;0000;;;;7.3;;
82598;17/08/1961;1200;1.2;;21.6;;;
82598;18/08/1961;0000;;;;10.6;;
82598;18/08/1961;1200;0;;24;;;
82598;19/08/1961;0000;;;;7.5;;
82598;19/08/1961;1200;0;;21.8;;;
82598;20/08/1961;0000;;;;10.3;;
82598;20/08/1961;1200;0;;20.9;;;
82598;21/08/1961;0000;;;;10.1;;
82598;21/08/1961;1200;0;;20.4;;;
82598;22/08/1961;0000;;;;10;;
82598;22/08/1961;1200;0;;23.7;;;
82598;23/08/1961;0000;;;;9.5;;
82598;23/08/1961;1200;0;;21.9;;;
82598;24/08/1961;0000;;;;6.8;;
82598;24/08/1961;1200;0.4;;20.8;;;
82598;25/08/1961;0000;;;;9.1;;
82598;25/08/1961;1200;15.8;;21.3;;;
82598;26/08/1961;0000;;;;5.9;;
